,data size,service top@1,service top@2,service top@3,service top@4,service top@5,instance top@1,instance top@2,instance top@3,instance top@4,instance top@5,weighted precision,weighted recall,weighted f1score,micro precision,micro recall,micro f1score,macro precision,macro recall,macro f1score
0,1 / 5,0.25,0.3125,0.46875,0.625,0.625,0.25,0.3125,0.46875,0.625,0.625,0.2583333333333333,0.125,0.1537433155080214,0.125,0.125,0.125,0.13333333333333333,0.08163265306122448,0.09472880061115355
1,2 / 5,0.3125,0.34375,0.46875,0.6875,0.75,0.3125,0.34375,0.46875,0.6875,0.75,0.415625,0.3125,0.3399553571428572,0.3125,0.3125,0.3125,0.3,0.2738095238095238,0.2683673469387755
2,3 / 5,0.21875,0.34375,0.4375,0.53125,0.65625,0.21875,0.34375,0.4375,0.53125,0.65625,0.37239583333333337,0.28125,0.29735958485958486,0.28125,0.28125,0.28125,0.2809523809523809,0.29642857142857143,0.2573347287633002
3,4 / 5,0.28125,0.625,0.6875,0.75,0.8125,0.28125,0.625,0.6875,0.75,0.8125,0.27499999999999997,0.25,0.24689407814407813,0.25,0.25,0.25,0.2476190476190476,0.34484126984126984,0.2528170242455957
4,5 / 5,0.4375,0.59375,0.65625,0.78125,0.84375,0.4375,0.59375,0.65625,0.78125,0.84375,0.3984375,0.28125,0.31339285714285714,0.28125,0.28125,0.28125,0.2571428571428572,0.2916666666666667,0.23265306122448978
